BASIC,BASIC,BASIC,BASIC,BASIC,BASE,BASE,BASE,BASE,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT,ALIGNMENT
Rk,Player,Tm,Pos,G,TAR,REC,YDS,TD,WIDE,OW%,WYPR,SLOT,SLOT%,SYPR,BACK,BACK%,BYPR,LINE,LINE%,IYPR,OFF,OFF%,OYPR
,Connor  Heyward,PIT,TE,1,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100,12
,Xavier  Legette,CAR,WR,1,2,2,11,0,13,54.167,-0.308,11,45.833,1.364,0,0,0,0,0,0,0,0,0
,Jaylen  Warren,PIT,RB,1,2,2,11,0,1,5.882,0,0,0,0,13,76.471,0.846,0,0,0,3,17.647,0
,Pat  Freiermuth,PIT,TE,1,1,1,11,0,5,38.462,0,4,30.769,2.75,0,0,0,0,0,0,4,30.769,0
,Ashton  Jeanty,LV,RB,1,4,2,11,0,0,0,0,0,0,0,21,100,0.524,0,0,0,0,0,0
,Kendre  Miller,NO,RB,1,1,1,11,0,0,0,0,0,0,0,7,100,1.571,0,0,0,0,0,0
,Kareem  Hunt,KC,RB,1,1,1,11,0,0,0,0,1,14.286,0,6,85.714,1.833,0,0,0,0,0,0
,Colston  Loveland,CHI,TE,1,3,2,11,0,2,11.765,0,6,35.294,0.833,1,5.882,0,4,23.529,0,4,23.529,1.5
,LeQuint  Allen Jr.,JAX,RB,1,2,1,10,0,0,0,0,0,0,0,13,92.857,0.769,0,0,0,1,7.143,0
,Tanner  Hudson,CIN,TE,1,5,4,10,1,4,25,-0.75,6,37.5,1.667,0,0,0,0,0,0,6,37.5,0.5
,Saquon  Barkley,PHI,RB,1,3,2,9,0,3,10.714,0,5,17.857,0,19,67.857,0.474,0,0,0,1,3.571,0
,Greg  Dortch,ARZ,WR,1,3,3,9,1,9,40.909,0.333,11,50,0.545,2,9.091,0,0,0,0,0,0,0
,Ameer  Abdullah,IND,RB,1,1,1,9,0,0,0,0,0,0,0,1,100,9,0,0,0,0,0,0
,Hassan  Haskins,LAC,RB,1,1,1,9,0,0,0,0,1,7.692,0,12,92.308,0.75,0,0,0,0,0,0
,Isaiah  Bond,CLV,WR,1,5,2,9,0,35,67.308,0.257,17,32.692,0,0,0,0,0,0,0,0,0,0
,Kyle  Juszczyk,SF,FB,1,1,1,9,0,3,30,0,4,40,2.25,1,10,0,0,0,0,2,20,0
,TreVeyon  Henderson,NE,RB,1,2,1,9,0,0,0,0,0,0,0,8,100,1.125,0,0,0,0,0,0
,Derrick  Henry,BLT,RB,1,2,1,8,0,1,11.111,0,0,0,0,8,88.889,1,0,0,0,0,0,0
,Rashod  Bateman,BLT,WR,1,2,1,8,0,20,90.909,0.4,2,9.091,0,0,0,0,0,0,0,0,0,0
,Luke  Schoonmaker,DAL,TE,1,2,1,8,0,1,11.111,0,1,11.111,0,0,0,0,5,55.556,0,2,22.222,4
,Jalen  Tolbert,DAL,WR,1,1,1,8,0,16,50,0,15,46.875,0.533,1,3.125,0,0,0,0,0,0,0
,Tanner  Conner,MIA,TE,1,1,1,8,0,0,0,0,1,33.333,0,0,0,0,1,33.333,8,1,33.333,0
,Brian  Robinson,SF,RB,1,3,3,8,0,0,0,0,0,0,0,5,100,1.6,0,0,0,0,0,0
,Chimere  Dike,TEN,WR,1,3,2,8,0,5,17.857,1.6,23,82.143,0,0,0,0,0,0,0,0,0,0
,Davis  Allen,LA,TE,1,2,1,7,0,0,0,0,1,12.5,0,0,0,0,6,75,0,1,12.5,7
,Konata  Mumpfield,LA,WR,1,2,1,7,0,2,28.571,3.5,5,71.429,0,0,0,0,0,0,0,0,0,0
,Hunter  Renfrow,CAR,WR,1,2,1,7,0,0,0,0,10,100,0.7,0,0,0,0,0,0,0,0,0
,Hunter  Luepke,DAL,FB,1,2,2,7,1,0,0,0,0,0,0,5,71.429,1.4,0,0,0,2,28.571,0
,Jauan  Jennings,SF,WR,1,3,1,7,0,26,72.222,0,10,27.778,0.7,0,0,0,0,0,0,0,0,0
,Luke  Musgrave,GB,TE,1,2,1,7,0,1,12.5,0,0,0,0,0,0,0,2,25,0,5,62.5,1.4
,Chase  Brown,CIN,RB,1,2,2,7,0,0,0,0,0,0,0,23,100,0.304,0,0,0,0,0,0
,Jacory  Croskey-Merritt,WAS,RB,1,1,1,7,0,0,0,0,0,0,0,14,100,0.5,0,0,0,0,0,0
,Andrew  Beck,NYJ,FB,1,1,1,6,0,0,0,0,0,0,0,1,100,6,0,0,0,0,0,0
,Isaiah  Likely,BLT,TE,1,2,2,6,0,1,3.03,0,28,84.848,0.036,0,0,0,0,0,0,4,12.121,1.25
,Elijah  Arroyo,SEA,TE,1,2,1,6,0,3,20,2,5,33.333,0,1,6.667,0,1,6.667,0,5,33.333,0
,Tyler  Allgeier,ATL,RB,1,1,1,6,0,1,11.111,0,0,0,0,8,88.889,0.75,0,0,0,0,0,0
,Javonte  Williams,DAL,RB,1,8,5,5,0,1,3.448,0,0,0,0,26,89.655,0.192,0,0,0,2,6.897,0
,Andrei  Iosivas,CIN,WR,1,4,1,5,0,15,36.585,0.333,26,63.415,0,0,0,0,0,0,0,0,0,0
