week,year,parlay_id,leg_number,parlay_type,was_bet_on,player_name,position,team,opponent,home_away,prop_type,line,prediction,leg_confidence,parlay_raw_confidence,correlation_adjustment,parlay_adjusted_confidence,dvoa_score,matchup_score,volume_score,injury_score,trend_score,gamescript_score,variance_score,weather_score,bet_result
12,2024,parlay_1763603312485,3,generated,False,jaxon smith-njigba,Unknown,SEA,Unknown,AWAY,Receptions,7.5,OVER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763603312485,4,generated,False,cooper kupp,Unknown,SEA,Unknown,AWAY,Receptions,2.5,OVER,60.0,60.0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763606246994,1,generated,False,khalil shakir,Unknown,BUF,Unknown,AWAY,Receptions,4.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763606246994,2,generated,False,trevor lawrence,Unknown,JAC,Unknown,AWAY,Pass Yds,213.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763606247036,1,generated,False,brock purdy,Unknown,SF,Unknown,AWAY,Pass Yds,249.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763606247036,2,generated,False,drake maye,Unknown,NE,Unknown,AWAY,Pass Completions,20.5,OVER,66.0,66.0,0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763606247049,1,generated,False,hunter henry,Unknown,NE,Unknown,AWAY,Rec Yds,40.5,OVER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763606247049,2,generated,False,alvin kamara,Unknown,NO,Unknown,AWAY,Rush Attempts,15.5,UNDER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763606247065,1,generated,False,josh allen,Unknown,BUF,Unknown,AWAY,Pass Completions,19.5,OVER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2024,parlay_1763606247065,2,generated,False,christian mccaffrey,Unknown,SF,Unknown,AWAY,Rec Yds,42.5,OVER,65.0,65.0,0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
